// 오래된 보라색 상자 아이템 데이터베이스
//
// 데이터베이스 구조:
// 그룹ID,아이템ID,확률

2,501,14// 빨간포션
2,502,14// 주홍포션
2,503,14// 노란포션
2,504,14// 하얀포션
2,505,14// 파란포션
2,506,14// 초록포션
2,507,14// 빨간허브
2,508,14// 노란허브
2,509,14// 하얀허브
2,510,14// 파란허브
2,511,14// 초록허브
2,512,14// 사과
2,513,14// 바나나
2,514,14// 포도
2,515,14// 당근
2,516,14// 고구마
2,517,14// 고기
2,518,14// 꿀
2,519,14// 우유
2,520,14// 히나레의 잎사귀
2,521,14// 알로에의 잎사귀
2,522,14// 마스테라의 열매
2,523,14// 성수
2,525,14// 만능약
2,526,14// 로얄제리
2,528,14// 괴물의 먹이
2,529,14// 사탕
2,530,14// 막대사탕
2,531,14// 사과 쥬스
2,532,14// 바나나 쥬스
2,533,14// 포도 쥬스
2,534,14// 당근 쥬스
2,535,14// 호박
2,536,14// 아이스 크림
2,537,14// 펫 푸드
2,538,14// 잘 구운 쿠키
2,539,14// 조각 케이크
2,544,14// 회
2,545,14// 레드 슬림 포션
2,546,14// 옐로우 슬림 포션
2,547,14// 화이트 슬림 포션
2,548,14// 치즈
2,549,14// 밤고구마
2,550,14// 뻥튀기
2,551,14// 초밥
2,553,14// 만두
2,555,14// 떡
2,558,14// 초콜렛
2,561,14// 화이트 초콜렛
2,601,14// 파리의 날개
2,602,14// 나비의 날개
2,603,614// 오래된 파란상자
2,604,213// 고목나무 가지
2,605,14// 안티 페인멘트
2,606,14// 알로에베라
2,607,14// 이그드라실의 열매
2,608,14// 이그드라실의 씨앗
2,609,14// 반혼부
2,610,14// 이그드라실의 나뭇잎
2,611,14// 돋보기
2,612,14// 휴대용 용광로
2,613,14// 강철의 망치
2,614,14// 황금의 망치
2,615,14// 오리데오콘 망치
2,616,1// 낡은 카드첩
2,617,103// 오래된 보라색 상자
2,618,14// 낡은 두루마리
2,619,14// 덜익은 사과
2,620,14// 오렌지 쥬스
2,621,14// 쓰디쓴 풀
2,622,14// 무지개색 당근
2,623,14// 멋쟁이 청년 지렁이
2,624,14// 썩은 생선
2,625,14// 녹슬어버린 철
2,626,14// 몬스터 쥬스
2,627,14// 달콤한 우유
2,628,14// 잘 말린 뼈다귀
2,629,14// 노래하는 꽃
2,630,14// 아침이슬을 머금은 이끼
2,631,14// 맹독초
2,632,14// 토실토실 살찐 지렁이
2,633,14// 구운 고구마
2,634,14// 열대의 바나나
2,635,14// 조직의 쓴맛
2,636,14// 수취인 불명
2,637,14// 헌 빗자루
2,638,14// 순결의 은장도
2,639,14// 복종의 팔찌
2,640,14// 반짝이는 돌
2,641,14// 어둠의 계약서
2,642,14// 악마소환서
2,643,14// 휴대용 알 부화기
2,644,114// 선물상자
2,645,14// 집중의 포션
2,656,14// 각성의 포션
2,657,14// 버서크 포션
2,659,14// 그녀의 마음
2,663,14// 송편
2,664,14// 선물상자
2,665,14// 선물상자
2,666,14// 선물상자
2,667,14// 선물상자
2,668,14// 세뱃돈
2,678,14// 독약병
2,679,14// 소환단
2,701,14// 오라오라
2,702,14// 가축의 피
2,703,14// 히나레
2,704,14// 알로에
2,705,14// 클로버
2,706,14// 네잎 클로버
2,707,14// 노래하는 풀
2,708,14// 멘트
2,710,14// 환상의 꽃
2,711,14// 새싹
2,712,14// 꽃
2,713,14// 빈병
2,714,14// 엠펠리움
2,715,14// 옐로우 젬스톤
2,716,14// 레드 젬스톤
2,717,14// 블루 젬스톤
2,718,14// 가넷
2,719,14// 아메디스트
2,720,14// 아쿠아마린
2,721,14// 에메랄드
2,722,14// 진주
2,723,14// 루비
2,724,14// 저주받은 루비
2,725,14// 사드오닉스
2,726,14// 사파이어
2,727,14// 오팔
2,728,14// 토파즈
2,729,14// 질콘
2,730,14// 다이아몬드 1캐럿
2,731,14// 다이아몬드 2캐럿
2,732,14// 다이아몬드 3캐럿
2,733,14// 손상된 다이아몬드
2,734,14// 붉은색 액자
2,735,14// 푸른색 도자기
2,736,14// 하얀색 접시
2,737,14// 검은색 국자
2,738,14// 연필꽂이
2,739,14// 화장품
2,740,14// 봉제인형
2,741,14// 포링인형
2,742,14// 촌촌인형
2,743,14// 스포아인형
2,744,14// 꽃다발
2,745,14// 부케
2,746,14// 유리구슬
2,747,14// 수정으로 만든 거울
2,748,14// 시들지 않는 장미
2,749,14// 얼음 장미
2,750,14// 바포메트인형
2,751,14// 오시리스인형
2,752,14// 메뚜기인형
2,753,14// 원숭이인형
2,754,14// 너구리인형
2,756,14// 오리데오콘 원석
2,757,14// 에르늄 원석
2,901,14// 댕기머리
2,902,14// 늙은나무의 뿌리
2,903,14// 파충류의 혓바닥
2,904,14// 전갈의 꼬리
2,905,14// 식물의 줄기
2,906,14// 비늘로된 줄기
2,907,14// 고목나무의 진
2,908,14// 개구리의 알
2,909,14// 젤로피
2,910,14// 가렛
2,911,14// 셀
2,912,14// 자르곤
2,913,14// 박쥐의 이빨
2,914,14// 솜털
2,915,14// 번데기 껍질
2,916,14// 새의 깃털
2,917,14// 새의 발톱
2,918,14// 끈적이는 물갈퀴
2,919,14// 동물의 가죽
2,920,14// 늑대의 발톱
2,921,14// 버섯 포자
2,922,14// 오크의 송곳니
2,923,14// 악마의 뿔
2,924,14// 나비의 날개가루
2,925,14// 새의 부리
2,926,14// 뱀의 비늘조각
