
//    kk  ""tt""  "";;    """"JJ;;kkJJ  JJtt""    ""tt""  ;;tt""""tt    ""tt""   
//   JJ  kk""tt;;JJ      ttkk    ""tt    ;;;;ttJJ;;  ""ttkk;;"";;;;ttkk;;  ;;kk  
//  "";;  ""  kk  kk  tt  ttww    ZZ;;  ww    RR  ;;JJ  JJJJ  tt    RR  ;;JJ  JJ 
//  JJ      """";;""  kk  ttkk  ;;kk    ZZ    ww  ;;""  kk""  ww    kk;;kk""  JJ 
//  kk      JJ  kk    ww  ttkk  JJJJ  ;;ww  ""JJ  ;;tt""RR    ZZ  ;;ZZJJ      kk 
//  kk  ;;  "";;JJ        JJtt  JJJJ  ""kk  JJ""  ww""""ww    ww  ""JJ  ZZ    kk 
//  JJ  JJ  ;;JJ""  "";;  ww;;  kkJJ  JJ""  kk;;  ww  ;;ww  ""JJ  ww;;  ww  ;;tt 
//;;""  RR    RR    ww""  kk""  ;;tt  ww    kkkk      kktt  JJ;;  ZZ;;  ;;  tt   
//  JJkkttkkkk;;kkkk;;JJkktt""kkJJJJkkttJJkk;;  kkkkJJ  ttkkttJJkk;;ttkkJJkkJJ   
//| I | - | L | U | N | A | A | T | H | E | N | A | P | R | O | J | E | C | T |  
//------------------------------------------------------------------------------
// iLAthena 퀘스트 데이터베이스 <http://www.i-luna.com>
// 한글화 by 아이루나 iLAthena Project
//------------------------------------------------------------------------------
// 퀘스트 ID,시간 제한,대상1,값1,대상2,값2,대상3,값3,퀘스트 이름
//
1000,0,0,0,0,0,0,0,"전승"
1001,0,0,0,0,0,0,0,"복사 전직"
1002,0,0,0,0,0,0,0,"복사 전직"
1003,0,0,0,0,0,0,0,"복사 전직"
1004,0,0,0,0,0,0,0,"궁수 전직"
1005,0,0,0,0,0,0,0,"마법사 전직"
1006,0,0,0,0,0,0,0,"마법사 전직"
1007,0,0,0,0,0,0,0,"마법사 전직"
1008,0,0,0,0,0,0,0,"마법사 전직"
1009,0,0,0,0,0,0,0,"상인 전직"
1010,0,0,0,0,0,0,0,"상인 전직"
1011,0,0,0,0,0,0,0,"상인 전직"
1012,0,0,0,0,0,0,0,"상인 전직"
1013,0,0,0,0,0,0,0,"도둑 전직"
1014,0,0,0,0,0,0,0,"검사 전직"
1015,0,0,0,0,0,0,0,"Your first quest"
1016,0,0,0,0,0,0,0,"Gaining base levels"
2000,0,0,0,0,0,0,0,"블랙스미스 전직"
2001,0,0,0,0,0,0,0,"블랙스미스 전직"
2002,0,0,0,0,0,0,0,"블랙스미스 전직"
2003,0,0,0,0,0,0,0,"블랙스미스 전직"
2004,0,0,0,0,0,0,0,"블랙스미스 전직"
2005,0,0,0,0,0,0,0,"블랙스미스 전직"
2006,0,0,0,0,0,0,0,"블랙스미스 전직"
2007,0,0,0,0,0,0,0,"블랙스미스 전직"
2008,0,0,0,0,0,0,0,"블랙스미스 전직"
2009,0,0,0,0,0,0,0,"블랙스미스 전직"
2010,0,0,0,0,0,0,0,"블랙스미스 전직"
2011,0,0,0,0,0,0,0,"블랙스미스 전직"
2012,0,0,0,0,0,0,0,"블랙스미스 전직"
2013,0,0,0,0,0,0,0,"블랙스미스 전직"
2014,0,0,0,0,0,0,0,"블랙스미스 전직"
2015,0,0,0,0,0,0,0,"블랙스미스 전직"
2016,0,0,0,0,0,0,0,"블랙스미스 전직"
2017,0,0,0,0,0,0,0,"로그 전직"
2018,0,0,0,0,0,0,0,"로그 전직"
2019,0,0,0,0,0,0,0,"로그 전직"
2020,0,0,0,0,0,0,0,"로그 전직"
2021,0,0,0,0,0,0,0,"로그 전직"
2022,0,0,0,0,0,0,0,"로그 전직"
2023,0,0,0,0,0,0,0,"로그 전직"
2024,0,0,0,0,0,0,0,"로그 전직"
2025,0,0,0,0,0,0,0,"로그 전직"
2026,0,0,0,0,0,0,0,"로그 전직"
2027,0,0,0,0,0,0,0,"로그 전직"
2028,0,0,0,0,0,0,0,"알케미스트전직"
2029,0,0,0,0,0,0,0,"알케미스트 전직"
2030,0,0,0,0,0,0,0,"알케미스트 전직"
2031,0,0,0,0,0,0,0,"알케미스트 전직"
2032,0,0,0,0,0,0,0,"알케미스트 전직"
2033,0,0,0,0,0,0,0,"알케미스트 전직"
2034,0,0,0,0,0,0,0,"알케미스트 전직"
2035,0,0,0,0,0,0,0,"알케미스트 전직"
2036,0,0,0,0,0,0,0,"알케미스트 전직"
2037,0,0,0,0,0,0,0,"알케미스트 전직"
2038,0,0,0,0,0,0,0,"알케미스트 전직"
2039,0,0,0,0,0,0,0,"알케미스트 전직"
2040,0,0,0,0,0,0,0,"알케미스트 전직"
2041,0,0,0,0,0,0,0,"세이지 전직"
2042,0,0,0,0,0,0,0,"세이지 전직"
2043,0,0,0,0,0,0,0,"세이지 전직"
2044,0,0,0,0,0,0,0,"세이지 전직"
2045,0,0,0,0,0,0,0,"세이지 전직"
2046,0,0,0,0,0,0,0,"세이지 전직"
2047,0,0,0,0,0,0,0,"세이지 전직"
2048,0,0,0,0,0,0,0,"세이지 전직"
2049,0,0,0,0,0,0,0,"세이지 전직"
2050,0,0,0,0,0,0,0,"세이지 전직"
2051,0,0,0,0,0,0,0,"세이지 전직"
2052,0,0,0,0,0,0,0,"세이지 전직"
2053,0,0,0,0,0,0,0,"세이지 전직"
2054,0,0,0,0,0,0,0,"세이지 전직"
2055,0,0,0,0,0,0,0,"세이지 전직"
2056,0,0,0,0,0,0,0,"세이지 전직"
2057,0,0,0,0,0,0,0,"세이지 전직"
2058,0,0,0,0,0,0,0,"세이지 전직"
2059,0,0,0,0,0,0,0,"세이지 전직"
2060,0,0,0,0,0,0,0,"세이지 전직"
2061,0,0,0,0,0,0,0,"세이지 전직"
2062,0,0,0,0,0,0,0,"세이지 전직"
2063,0,0,0,0,0,0,0,"운명의 까마귀"
2064,0,0,0,0,0,0,0,"운명의 까마귀"
2065,0,0,0,0,0,0,0,"운명의 까마귀"
2066,0,0,0,0,0,0,0,"운명의 까마귀"
2067,0,0,0,0,0,0,0,"운명의 까마귀"
2068,0,0,0,0,0,0,0,"운명의 까마귀"
2069,0,0,0,0,0,0,0,"마롤 티에라 협곡 전투"
2070,0,0,0,0,0,0,0,"마롤  플라비우스 전투"
2071,0,0,0,0,0,0,0,"저주받은 유산"
2072,0,0,0,0,0,0,0,"저주받은 유산"
2073,0,0,0,0,0,0,0,"저주받은 유산"
2074,0,0,0,0,0,0,0,"저주받은 유산"
2075,0,0,0,0,0,0,0,"저주받은 유산"
2076,0,0,0,0,0,0,0,"저주받은 유산"
2077,0,0,0,0,0,0,0,"저주받은 유산"
2078,0,0,0,0,0,0,0,"저주받은 유산"
2079,0,0,0,0,0,0,0,"어긋난 과거"
2080,0,0,0,0,0,0,0,"어긋난 과거"
2081,0,0,0,0,0,0,0,"어긋난 과거"
2082,0,0,0,0,0,0,0,"어긋난 과거"
2083,0,0,0,0,0,0,0,"어긋난 과거"
2084,0,0,0,0,0,0,0,"어긋난 과거"
2085,0,0,0,0,0,0,0,"어긋난 과거"
2086,0,0,0,0,0,0,0,"기업 퀘스트"
2087,0,0,0,0,0,0,0,"기업 퀘스트"
2088,0,0,0,0,0,0,0,"기업 퀘스트"
2089,0,0,0,0,0,0,0,"기업 퀘스트"
2090,0,0,0,0,0,0,0,"기업 퀘스트"
2091,0,0,0,0,0,0,0,"기업 퀘스트"
2092,0,0,0,0,0,0,0,"기업 퀘스트"
2093,0,0,0,0,0,0,0,"기업 퀘스트"
2094,0,0,0,0,0,0,0,"기업 퀘스트"
2095,0,0,0,0,0,0,0,"기업 퀘스트"
2109,0,0,0,0,0,0,0,"얼음 동굴의 마법사"
2110,0,0,0,0,0,0,0,"얼음 동굴의 마법사"
2111,0,0,0,0,0,0,0,"얼음 동굴의 마법사"
2112,0,0,0,0,0,0,0,"얼음 동굴의 마법사"
2113,0,0,0,0,0,0,0,"얼음 동굴의 마법사"
2114,0,0,0,0,0,0,0,"토르 화산의 기지"
2115,0,0,0,0,0,0,0,"토르 화산의 기지"
2116,0,0,0,0,0,0,0,"토르 화산의 기지"
2117,0,0,0,0,0,0,0,"토르 화산의 기지"
2118,0,0,0,0,0,0,0,"토르 화산의 기지"
2119,0,0,0,0,0,0,0,"토르 화산의 기지"
2120,0,0,0,0,0,0,0,"토르 화산의 기지"
2121,0,0,0,0,0,0,0,"토르 화산의 기지"
2122,0,0,0,0,0,0,0,"토르 화산의 기지"
2123,0,0,0,0,0,0,0,"토르 화산의 기지"
2124,0,0,0,0,0,0,0,"토르 화산의 기지"
2125,0,0,0,0,0,0,0,"토르 화산의 기지"
2126,0,0,0,0,0,0,0,"토르 화산의 기지"
2127,0,0,0,0,0,0,0,"토르 화산의 기지"
2128,0,0,0,0,0,0,0,"토르 화산의 기지"
2143,0,0,0,0,0,0,0,"길드던전 이벤트"
2144,0,0,0,0,0,0,0,"길드던전 이벤트"
2147,0,0,0,0,0,0,0,"새로움을 대하는 자세"
2148,0,0,0,0,0,0,0,"새로움을 대하는 자세"
2149,0,0,0,0,0,0,0,"새로움을 대하는 자세"
2150,0,0,0,0,0,0,0,"새로움을 대하는 자세"
2151,0,0,0,0,0,0,0,"새로움을 대하는 자세"
2152,0,0,0,0,0,0,0,"새로움을 대하는 자세"
2153,0,0,0,0,0,0,0,"새로움을 대하는 자세"
2154,0,0,0,0,0,0,0,"새로움을 대하는 자세"
2155,0,0,0,0,0,0,0,"새로움을 대하는 자세"
2156,0,0,0,0,0,0,0,"새로움을 대하는 자세"
2157,0,0,0,0,0,0,0,"새로움을 대하는 자세"
2158,0,0,0,0,0,0,0,"요정 발견"
2159,0,0,0,0,0,0,0,"거인 발견"
2179,0,0,0,0,0,0,0,"계속되는 연구"
2180,0,0,0,0,0,0,0,"계속되는 연구"
2181,0,0,0,0,0,0,0,"계속되는 연구"
2182,0,0,0,0,0,0,0,"계속되는 연구"
2183,0,0,0,0,0,0,0,"향수"
2184,0,0,0,0,0,0,0,"향수"
2185,0,0,0,0,0,0,0,"향수"
2186,0,0,0,0,0,0,0,"향수"
2187,0,0,0,0,0,0,0,"아크비숍 전직 퀘스트"
2188,0,0,0,0,0,0,0,"아크비숍 전직 퀘스트"
2189,0,0,0,0,0,0,0,"아크비숍 전직 퀘스트"
2190,0,0,0,0,0,0,0,"아크비숍 전직 퀘스트"
2191,0,0,0,0,0,0,0,"아크비숍 전직 퀘스트"
3000,0,0,0,0,0,0,0,"바드 전직 - 아름다운 노래소리"
3001,0,0,0,0,0,0,0,"바드 전직 - 수업료는 꽃?"
3002,0,0,0,0,0,0,0,"바드 전직 - 바드로의 첫걸음."
3003,0,0,0,0,0,0,0,"바드 전직 - 노래 따라부르기."
3004,0,0,0,0,0,0,0,"바드 전직 - 마지막 관문."
3006,0,0,0,0,0,0,0,"크루세이더 전직 - 자격"
3007,0,0,0,0,0,0,0,"크루세이더 전직 - 자격"
3008,0,0,0,0,0,0,0,"크루세이더 전직 - 자격"
3009,0,0,0,0,0,0,0,"크루세이더 전직 - 무르나크 미욜"
3010,0,0,0,0,0,0,0,"크루세이더 전직 - 인내의 시험"
3011,0,0,0,0,0,0,0,"크루세이더 전직 - 계속되는 시험"
3012,0,0,0,0,0,0,0,"크루세이더 전직 - 지식의 시험"
3013,0,0,0,0,0,0,0,"크루세이더 전직 - 계속되는 시험2"
3014,0,0,0,0,0,0,0,"크루세이더 전직 - 마지막 시험"
3015,0,0,0,0,0,0,0,"크루세이더 전직 - 시험 완료"
3016,0,0,0,0,0,0,0,"몽크 전직 - 몽크의 길"
3017,0,0,0,0,0,0,0,"몽크 전직 - 자격과 준비"
3018,0,0,0,0,0,0,0,"몽크 전직 - 자격과 준비"
3019,0,0,0,0,0,0,0,"몽크 전직 - 자격과 준비"
3020,0,0,0,0,0,0,0,"몽크 전직 - 자격과 준비"
3021,0,0,0,0,0,0,0,"몽크 전직 - 자격과 준비"
3022,0,0,0,0,0,0,0,"몽크 전직 - 자격과 준비"
3023,0,0,0,0,0,0,0,"몽크 전직 - 자격과 준비"
3024,0,0,0,0,0,0,0,"몽크 전직 - 도우하의 부름"
3025,0,0,0,0,0,0,0,"몽크 전직 - 교리문답 시험"
3026,0,0,0,0,0,0,0,"몽크 전직 - 부해의 부름"
3027,0,0,0,0,0,0,0,"몽크 전직 - 버섯 채집"
3028,0,0,0,0,0,0,0,"몽크 전직 - 마라톤"
3029,0,0,0,0,0,0,0,"몽크 전직 - 마지막 시험"
3031,0,0,0,0,0,0,0,"몽크 전직 - 구마수행"
3032,0,0,0,0,0,0,0,"몽크 전직 - 몽크로의 전직"
3040,0,0,0,0,0,0,0,"바포메트의 저주 - 무덤의 피로"
3041,0,0,0,0,0,0,0,"바포메트의 저주 - 마력의 고갈"
3042,0,0,0,0,0,0,0,"마력깃든 바포메트의 인형의 정체"
3043,0,0,0,0,0,0,0,"진정한 마제스틱고우트"
3050,0,0,0,0,0,0,0,"마왕의 부활 - 모로크로의 소식"
3051,0,0,0,0,0,0,0,"마왕의 부활 - 자격의 시험"
3052,0,0,0,0,0,0,0,"마왕의 부활 - 자격의 시험2"
3053,0,0,0,0,0,0,0,"마왕의 부활 - 토벌대의 일원"
3054,0,0,0,0,0,0,0,"마왕의 부활 - 마왕을 물리치다!"
3055,0,0,0,0,0,0,0,"마왕의 부활 - 시공의 균열"
3056,0,0,0,0,0,0,0,"마왕의 부활 - 보상의 시간"
3060,0,0,0,0,0,0,0,"베인스의 남매 - 동생은 어디에?"
3061,0,0,0,0,0,0,0,"베인스의 남매 - 족쇄를 풀 방법은?"
3062,0,0,0,0,0,0,0,"베인스의 남매 - 열쇠수리공을 찾아라"
3063,0,0,0,0,0,0,0,"베인스의 남매 - 열쇠장인 록엔락?"
3064,0,0,0,0,0,0,0,"베인스의 남매 - 카멜레응 비누"
3065,0,0,0,0,0,0,0,"베인스의 남매 - 카멜레응 비누의 재료"
3066,0,0,0,0,0,0,0,"베인스의 남매 - 카멜레응 비누를 만드려면..."
3067,0,0,0,0,0,0,0,"베인스의 남매 - 낙타의 식욕촉진메뉴"
3068,0,0,0,0,0,0,0,"베인스의 남매 - 낙타의 응가 채집"
3069,0,0,0,0,0,0,0,"베인스의 남매 - 비단모래낙타는 어디에?"
3070,0,0,0,0,0,0,0,"베인스의 남매 - 사라진 비단모래낙타"
3071,0,0,0,0,0,0,0,"베인스의 남매 - 비단모래낙타 발견!"
3072,0,0,0,0,0,0,0,"베인스의 남매 - 응가 1개 채집 완료"
3073,0,0,0,0,0,0,0,"베인스의 남매 - 응가 2개 채집 완료"
3074,0,0,0,0,0,0,0,"베인스의 남매 - 응가 3개 채집 완료"
3075,0,0,0,0,0,0,0,"베인스의 남매 - 응가 4개 채집 완료"
3076,0,0,0,0,0,0,0,"베인스의 남매 - 응가 채집 완료"
3077,0,0,0,0,0,0,0,"베인스의 남매 - 아이버리씨에게로"
3078,0,0,0,0,0,0,0,"베인스의 남매 - 카멜레응 비누의 완성"
3079,0,0,0,0,0,0,0,"베인스의 남매 - 자물쇠 본 뜨기"
3080,0,0,0,0,0,0,0,"베인스의 남매 - 자물쇠 본 가져가기"
3081,0,0,0,0,0,0,0,"베인스의 남매 - 열쇠의 재료는 강철"
3082,0,0,0,0,0,0,0,"베인스의 남매 - 열쇠 완성"
3083,0,0,0,0,0,0,0,"베인스의 남매 - 자물쇠 본 가져가기"
3085,0,0,0,0,0,0,0,"대륙으로의 보고서 - 사령관의 부름"
3086,0,0,0,0,0,0,0,"대륙으로의 보고서 - 사령관의 임무"
3087,0,0,0,0,0,0,0,"대륙으로의 보고서 - 사령관의 임무"
3088,0,0,0,0,0,0,0,"대륙으로의 보고서 - 사고발생!"
3089,0,0,0,0,0,0,0,"대륙으로의 보고서 - 복구방법"
3090,0,0,0,0,0,0,0,"대륙으로의 보고서 - 보고서들의 행방"
3091,0,0,0,0,0,0,0,"대륙으로의 보고서 - 보고서들의 행방"
3092,0,0,0,0,0,0,0,"대륙으로의 보고서 - 복구 성공!"
3093,0,0,0,0,0,0,0,"대륙으로의 보고서 - 대륙의로의 보고"
3094,0,0,0,0,0,0,0,"대륙으로의 보고서 - 원정대로 복귀"
3100,0,0,0,0,0,0,0,"지독한 빛 청산 - 잃어버린 머프의 지갑"
3101,0,0,0,0,0,0,0,"지독한 빛 청산 - 수상한 흙무더기"
3102,0,0,0,0,0,0,0,"지독한 빛 청산 - 되찾은 차용증. 하지만..."
3103,0,0,0,0,0,0,0,"지독한 빛 청산 - 발명가 도리안"
3104,0,0,0,0,0,0,0,"지독한 빛 청산 - 마법건조기의 수리재료"
3105,0,0,0,0,0,0,0,"지독한 빛 청산 - 마법건조기의 수리"
3106,0,0,0,0,0,0,0,"지독한 빛 청산 - 마법건조기의 수리 실패"
3107,0,0,0,0,0,0,0,"지독한 빛 청산 - 마법건조기의 수리 성공"
3108,0,0,0,0,0,0,0,"지독한 빛 청산 - 마법건조기를 사용해보자"
3109,0,0,0,0,0,0,0,"지독한 빛 청산 - 차용증 복구 성공"
3110,0,0,0,0,0,0,0,"잃어버린 보석 - 보석의 행방을 찾아"
3111,0,0,0,0,0,0,0,"잃어버린 보석 - 레블로의 제안"
3112,0,0,0,0,0,0,0,"잃어버린 보석 - 페이욘의 의원 향아"
3113,0,0,0,0,0,0,0,"잃어버린 보석 - 페이욘의 의원 향아"
3114,0,0,0,0,0,0,0,"잃어버린 보석 - 페이욘의 의원 향아"
3115,0,0,0,0,0,0,0,"잃어버린 보석 - 레블로의 정보"
3116,0,0,0,0,0,0,0,"잃어버린 보석 - 로그길드원의 정보"
3117,0,0,0,0,0,0,0,"잃어버린 보석 - 수상한 기계장치"
3118,0,0,0,0,0,0,0,"잃어버린 보석 - 되찾은 다이아몬드"
3119,0,0,0,0,0,0,0,"현상수배 Z단 - 현상수배 공문"
3120,0,0,0,0,0,0,0,"현상수배 Z단 - Z단의 인상착의"
3121,0,0,0,0,0,0,0,"현상수배 Z단 - 발데스의 요구"
3122,0,0,0,0,0,0,0,"현상수배 Z단 - 발데스의 정보"
3123,0,0,0,0,0,0,0,"현상수배 Z단 - 메리벨의 시험"
3124,0,0,0,0,0,0,0,"현상수배 Z단 - 안문호와의 대결"
3125,0,0,0,0,0,0,0,"현상수배 Z단 - 안문호와의 대결"
3126,0,0,0,0,0,0,0,"현상수배 Z단 - 메리벨의 정보"
3127,0,0,0,0,0,0,0,"현상수배 Z단 - Z단의 습격"
3128,0,0,0,0,0,0,0,"현상수배 Z단 - Z단의 습격"
3129,0,0,0,0,0,0,0,"현상수배 Z단 - 수상한 서신"
3130,0,0,0,0,0,0,0,"현상수배 Z단 - 암호해독을 하려면..."
3131,0,0,0,0,0,0,0,"현상수배 Z단 - 암호해독 완료"
3132,0,0,0,0,0,0,0,"현상수배 Z단 - Z단의 아지트를 찾아라"
3133,0,0,0,0,0,0,0,"현상수배 Z단 - 아지트 발견!"
3134,0,0,0,0,0,0,0,"현상수배 Z단 - Z단 소탕완료"
3135,0,0,0,0,0,0,0,"세계수의 손상 - 둥지의 안정화"
3200,0,0,0,0,0,0,0,"룬나이트 전직 - 룬나이트로의 추천"
3201,0,0,0,0,0,0,0,"룬나이트 전직 - 룬나이트의 비밀 집결지"
3202,0,0,0,0,0,0,0,"룬나이트 전직 - 첫 번째 시험"
3203,0,0,0,0,0,0,0,"룬나이트 전직 - 첫 번째 시험"
3204,0,0,0,0,0,0,0,"룬나이트 전직 - 첫 번째 시험 통과"
3205,0,0,0,0,0,0,0,"룬나이트 전직 - 두 번째 시험"
3206,0,0,0,0,0,0,0,"룬나이트 전직 - 두 번째 시험"
3207,0,0,0,0,0,0,0,"룬나이트 전직 - 두 번째 시험"
3208,0,0,0,0,0,0,0,"룬나이트 전직 - 두 번째 시험"
3209,0,0,0,0,0,0,0,"룬나이트 전직 - 마법에너지 축적1"
3210,0,0,0,0,0,0,0,"룬나이트 전직 - 마법에너지 축적2"
3211,0,0,0,0,0,0,0,"룬나이트 전직 - 마법에너지 축적3"
3212,0,0,0,0,0,0,0,"룬나이트 전직 - 마법에너지 축적4"
3213,0,0,0,0,0,0,0,"룬나이트 전직 - 두 번째 시험"
3214,0,0,0,0,0,0,0,"룬나이트 전직 - 두 번째 시험"
3215,0,0,0,0,0,0,0,"룬나이트 전직 - 두 번째 시험 통과"
3216,0,0,0,0,0,0,0,"룬나이트 전직 - 마지막 시험"
3217,0,0,0,0,0,0,0,"룬나이트 전직 - 마지막 시험"
3218,0,0,0,0,0,0,0,"룬나이트 전직 - 마지막 시험 통과"
3219,0,0,0,0,0,0,0,"룬나이트 전직 - 모든 시험의 끝"
3220,0,0,0,0,0,0,0,"룬나이트 전직 - 시험 대기시간"
3250,0,0,0,0,0,0,0,"의뢰 - 무엇에 쓰는 붕대인고?"
3251,0,0,0,0,0,0,0,"의뢰 - 역습의 악어"
3252,0,0,0,0,0,0,0,"의뢰 - 나의 인어는 이렇지 않다는!"
3253,0,0,0,0,0,0,0,"의뢰 - 실종된 오컬트 매니아"
3254,0,0,0,0,0,0,0,"의뢰 - 국가는 그대를 원한다"
3255,0,0,0,0,0,0,0,"의뢰 - 멧돼지 토벌 작전"
3256,0,0,0,0,0,0,0,"의뢰 - 여름을 기다리는 준비"
3257,0,0,0,0,0,0,0,"의뢰 - 여자의 원한"
3258,0,0,0,0,0,0,0,"의뢰 - 별미의 재료"
3259,0,0,0,0,0,0,0,"의뢰 - 인형술사의 고민"
3260,0,0,0,0,0,0,0,"의뢰 - 지긋지긋한 파리떼"
3261,0,0,0,0,0,0,0,"의뢰 - 부정한 소녀"
3262,0,0,0,0,0,0,0,"의뢰 - 별난 취미"
3263,0,0,0,0,0,0,0,"의뢰 - 도깨비 방망이"
3265,0,0,0,0,0,0,0,"의뢰 - 실종된 오컬트 매니아"
4000,0,0,0,0,0,0,0,"셰린의 면접"
4001,0,0,0,0,0,0,0,"헌터 전직 시험"
4002,0,0,0,0,0,0,0,"헌터 전직 시험 - 아이템 수집"
4003,0,0,0,0,0,0,0,"헌터 전직 시험 - 아이템 수집"
4004,0,0,0,0,0,0,0,"헌터 전직 시험 - 아이템 수집"
4005,0,0,0,0,0,0,0,"헌터 전직 시험 - 아이템 수집"
4006,0,0,0,0,0,0,0,"헌터 전직 시험 - 아이템 수집"
4007,0,0,0,0,0,0,0,"헌터 전직 시험 - 아이템 수집"
4008,0,0,0,0,0,0,0,"헌터 전직 시험 - 아이템 수집"
4009,0,0,0,0,0,0,0,"헌터 전직 시험"
4010,0,0,0,0,0,0,0,"헌터 전직 시험"
4011,0,0,0,0,0,0,0,"헌터 전직 시험 - 테스트"
4012,0,0,0,0,0,0,0,"헌터 전직 시험"
4013,0,0,0,0,0,0,0,"헌터 전직 시험"
4015,0,0,0,0,0,0,0,"모험가 심사위원이 되자"
4016,0,0,0,0,0,0,0,"심사위원 자격 습득"
4017,0,0,0,0,0,0,0,"심사위원 자격 습득"
4018,0,0,0,0,0,0,0,"왕자를 만날 준비"
4020,0,0,0,0,0,0,0,"왕자와 면담"
4021,0,0,0,0,0,0,0,"왕자와 면담"
4022,0,0,0,0,0,0,0,"왕자와 면담"
4023,0,0,0,0,0,0,0,"왕자와 면담"
4024,0,0,0,0,0,0,0,"왕자와 면담"
4025,0,0,0,0,0,0,0,"왕자와 면담"
4026,0,0,0,0,0,0,0,"왕자와 면담"
4027,0,0,0,0,0,0,0,"왕자와 면담"
4028,0,0,0,0,0,0,0,"페터 왕자의 부탁"
4029,0,0,0,0,0,0,0,"소녀의 부탁"
4030,0,0,0,0,0,0,0,"아름,에른 왕자의 이야기"
4031,0,0,0,0,0,0,0,"아름,에른 왕자의 이야기"
4032,0,0,0,0,0,0,0,"두 가문의 흉계"
4033,0,0,0,0,0,0,0,"아름 왕자의 사망"
6000,0,0,0,0,0,0,0,"태권 전직"
6001,0,0,0,0,0,0,0,"태권 전직"
6002,0,0,0,0,0,0,0,"태권 전직"
6005,0,0,0,0,0,0,0,"소울링커 전직"
6006,0,0,0,0,0,0,0,"소울링커 전직"
6007,0,0,0,0,0,0,0,"소울링커 전직"
6008,0,0,0,0,0,0,0,"소울링커 전직"
6010,0,0,0,0,0,0,0,"슈퍼 노비스 전직"
6015,0,0,0,0,0,0,0,"쿠우가 가이의 심부름"
6016,0,0,0,0,0,0,0,"수상한 남자의 부탁"
6017,0,0,0,0,0,0,0,"적표범 죠의 답장"
6018,0,0,0,0,0,0,0,"쿠우가 가이의 광기"
6020,0,0,0,0,0,0,0,"밀러의 편지"
6021,0,0,0,0,0,0,0,"황소 뿔이 말하는 징표"
6022,0,0,0,0,0,0,0,"징표의 제작"
6023,0,0,0,0,0,0,0,"황소 뿔의 심술"
6024,0,0,0,0,0,0,0,"전직 건슬링거!"
6025,0,0,0,0,0,0,0,"KVM 승인"
7000,0,0,0,0,0,0,0,"댄서로 전직! 여기 전직신청서에요!"
7001,0,0,0,0,0,0,0,"댄서로 전직! 댄서에게 필요한 것은..?"
7002,0,0,0,0,0,0,0,"댄서로 전직! 댄서에게 필요한 것은..?"
7003,0,0,0,0,0,0,0,"댄서로 전직! 댄서에게 필요한 것은..?"
7004,0,0,0,0,0,0,0,"댄서로 전직! 누가 날 만나고 싶다고?"
7005,0,0,0,0,0,0,0,"댄서로 전직! 드디어 무대다!"
7006,0,0,0,0,0,0,0,"댄서로 전직! 데뷔 성공!"
7007,0,0,0,0,0,0,0,"태양과 달과 별의 전사"
7008,0,0,0,0,0,0,0,"태양과 달과 별의 전사 - 자연"
7009,0,0,0,0,0,0,0,"태양과 달과 별의 전사 - 성역"
7010,0,0,0,0,0,0,0,"태양과 달과 별의 전사 - 별?"
7011,0,0,0,0,0,0,0,"태양과 달과 별의 전사"
7012,0,0,0,0,0,0,0,"추적대 - 쉽고 간단한 일"
7013,0,0,0,0,0,0,0,"추적대 - 쉽고 간단한 일"
7014,0,0,0,0,0,0,0,"추적대 - 쉽고 간단한 일"
7015,0,0,0,0,0,0,0,"추적대 - 쉽고 간단한 일"
7016,0,0,0,0,0,0,0,"추적대 - 쉽고 간단한 일?!"
7017,0,0,0,0,0,0,0,"추적대 - 쉽고 간단한 일?!"
7018,0,0,0,0,0,0,0,"추적대 - 쉽고 간단한 일?!"
7019,0,0,0,0,0,0,0,"추적대 - 일은 끝났는데..."
7020,0,0,0,0,0,0,0,"추적대 - 일은 끝났는데..."
7021,0,0,0,0,0,0,0,"추적대 - 수상한 주문서"
7022,0,0,0,0,0,0,0,"추적대 - 수상한 주문서"
7023,0,0,0,0,0,0,0,"추적대 - 수상한 주문서"
7024,0,0,0,0,0,0,0,"추적대 - 수상한 주문서"
7025,0,0,0,0,0,0,0,"추적대 - 수상한 주문서"
