// 오래된 파란 상자 아이템 데이터베이스
//
// 데이터베이스 구조:
// 그룹ID,아이템ID,확률

1,501,12// 빨간포션
1,502,12// 주홍포션
1,503,12// 노란포션
1,504,12// 하얀포션
1,505,12// 파란포션
1,506,12// 초록포션
1,507,12// 빨간허브
1,508,12// 노란허브
1,509,12// 하얀허브
1,510,12// 파란허브
1,511,12// 초록허브
1,512,12// 사과
1,513,12// 바나나
1,514,12// 포도
1,515,12// 당근
1,516,12// 고구마
1,517,12// 고기
1,518,12// 꿀
1,519,12// 우유
1,520,12// 히나레의 잎사귀
1,521,12// 알로에의 잎사귀
1,522,12// 마스테라의 열매
1,523,12// 성수
1,525,12// 만능약
1,526,12// 로얄제리
1,528,12// 괴물의 먹이
1,529,12// 사탕
1,530,12// 막대사탕
1,531,12// 사과 쥬스
1,532,12// 바나나 쥬스
1,533,12// 포도 쥬스
1,534,12// 당근 쥬스
1,535,12// 호박
1,536,12// 아이스 크림
1,537,12// 펫 푸드
1,538,12// 잘 구운 쿠키
1,539,12// 조각 케이크
1,544,12// 회
1,545,12// 레드 슬림 포션
1,546,12// 옐로우 슬림 포션
1,547,12// 화이트 슬림 포션
1,548,12// 치즈
1,549,12// 밤고구마
1,550,12// 뻥튀기
1,551,12// 초밥
1,553,12// 만두
1,555,12// 떡
1,558,12// 초콜렛
1,561,12// 화이트 초콜렛
1,601,12// 파리의 날개
1,602,12// 나비의 날개
1,603,1173// 오래된 파란상자
1,604,512// 고목나무 가지
1,605,12// 안티 페인멘트
1,606,12// 알로에베라
1,607,12// 이그드라실의 열매
1,608,12// 이그드라실의 씨앗
1,609,12// 반혼부
1,610,12// 이그드라실의 나뭇잎
1,611,12// 돋보기
1,612,12// 휴대용 용광로
1,613,12// 강철의 망치
1,614,12// 황금의 망치
1,615,12// 오리데오콘 망치
1,618,12// 낡은 두루마리
1,619,12// 덜익은 사과
1,620,12// 오렌지 쥬스
1,621,12// 쓰디쓴 풀
1,622,12// 무지개색 당근
1,623,12// 멋쟁이 청년 지렁이
1,624,12// 썩은 생선
1,625,12// 녹슬어버린 철
1,626,12// 몬스터 쥬스
1,627,12// 달콤한 우유
1,628,12// 잘 말린 뼈다귀
1,629,12// 노래하는 꽃
1,630,12// 아침이슬을 머금은 이끼
1,631,12// 맹독초
1,632,12// 토실토실 살찐 지렁이
1,633,12// 구운 고구마
1,634,12// 열대의 바나나
1,635,12// 조직의 쓴맛
1,636,12// 수취인 불명
1,637,12// 헌 빗자루
1,638,12// 순결의 은장도
1,639,12// 복종의 팔찌
1,640,12// 반짝이는 돌
1,641,12// 어둠의 계약서
1,642,12// 악마소환서
1,643,12// 휴대용 알 부화기
1,644,312// 선물상자
1,645,12// 집중의 포션
1,656,12// 각성의 포션
1,657,12// 버서크 포션
1,659,12// 그녀의 마음
1,663,12// 송편
1,664,12// 선물상자
1,665,12// 선물상자
1,666,12// 선물상자
1,667,12// 선물상자
1,668,12// 세뱃돈
1,678,12// 독약병
1,679,12// 소환단
1,701,12// 오라오라
1,702,12// 가축의 피
1,703,12// 히나레
1,704,12// 알로에
1,705,12// 클로버
1,706,12// 네잎 클로버
1,707,12// 노래하는 풀
1,708,12// 멘트
1,710,12// 환상의 꽃
1,711,12// 새싹
1,712,12// 꽃
1,713,12// 빈병
1,714,12// 엠펠리움
1,715,12// 옐로우 젬스톤
1,716,12// 레드 젬스톤
1,717,12// 블루 젬스톤
1,718,12// 가넷
1,719,12// 아메디스트
1,720,12// 아쿠아마린
1,721,12// 에메랄드
1,722,12// 진주
1,723,12// 루비
1,724,12// 저주받은 루비
1,725,12// 사드오닉스
1,726,12// 사파이어
1,727,12// 오팔
1,728,12// 토파즈
1,729,12// 질콘
1,730,12// 다이아몬드 1캐럿
1,731,12// 다이아몬드 2캐럿
1,732,12// 다이아몬드 3캐럿
1,733,12// 손상된 다이아몬드
1,734,12// 붉은색 액자
1,735,12// 푸른색 도자기
1,736,12// 하얀색 접시
1,737,12// 검은색 국자
1,738,12// 연필꽂이
1,739,12// 화장품
1,740,12// 봉제인형
1,741,12// 포링인형
1,742,12// 촌촌인형
1,743,12// 스포아인형
1,744,12// 꽃다발
1,745,12// 부케
1,746,12// 유리구슬
1,747,12// 수정으로 만든 거울
1,748,12// 시들지 않는 장미
1,749,12// 얼음 장미
1,750,12// 바포메트인형
1,751,12// 오시리스인형
1,752,12// 메뚜기인형
1,753,12// 원숭이인형
1,754,12// 너구리인형
1,756,12// 오리데오콘 원석
1,757,12// 에르늄 원석
1,901,12// 댕기머리
1,902,12// 늙은나무의 뿌리
1,903,12// 파충류의 혓바닥
1,904,12// 전갈의 꼬리
1,905,12// 식물의 줄기
1,906,12// 비늘로된 줄기
1,907,12// 고목나무의 진
1,908,12// 개구리의 알
1,909,12// 젤로피
1,910,12// 가렛
1,911,12// 셀
1,912,12// 자르곤
1,913,12// 박쥐의 이빨
1,914,12// 솜털
1,915,12// 번데기 껍질
1,916,12// 새의 깃털
1,917,12// 새의 발톱
1,918,12// 끈적이는 물갈퀴
1,919,12// 동물의 가죽
1,920,12// 늑대의 발톱
1,921,12// 버섯 포자
1,922,12// 오크의 송곳니
1,923,12// 악마의 뿔
1,924,12// 나비의 날개가루
1,925,12// 새의 부리
1,926,12// 뱀의 비늘조각
1,928,12// 벌레의 더듬이
1,929,12// 멈추지 않는 심장
1,930,12// 썩은 붕대
1,931,12// 오크전사의 증표
1,932,12// 뼈조각
1,934,12// 죽은자의 유품
1,935,12// 단단한 껍질
1,936,12// 비늘로된 피부
1,937,12// 독 송곳니
1,938,12// 끈적끈적한 액체
1,939,12// 벌의 뒷침
1,940,12// 메뚜기의 뒷다리
1,941,12// 쇠코뚜레
1,942,12// 원숭이의 꼬리
1,943,12// 매우 단단한 껍질
1,944,12// 말발굽
1,945,12// 너구리의 나뭇잎
1,946,12// 달팽이의 껍질
