
//    kk  ""tt""  "";;    """"JJ;;kkJJ  JJtt""    ""tt""  ;;tt""""tt    ""tt""   
//   JJ  kk""tt;;JJ      ttkk    ""tt    ;;;;ttJJ;;  ""ttkk;;"";;;;ttkk;;  ;;kk  
//  "";;  ""  kk  kk  tt  ttww    ZZ;;  ww    RR  ;;JJ  JJJJ  tt    RR  ;;JJ  JJ 
//  JJ      """";;""  kk  ttkk  ;;kk    ZZ    ww  ;;""  kk""  ww    kk;;kk""  JJ 
//  kk      JJ  kk    ww  ttkk  JJJJ  ;;ww  ""JJ  ;;tt""RR    ZZ  ;;ZZJJ      kk 
//  kk  ;;  "";;JJ        JJtt  JJJJ  ""kk  JJ""  ww""""ww    ww  ""JJ  ZZ    kk 
//  JJ  JJ  ;;JJ""  "";;  ww;;  kkJJ  JJ""  kk;;  ww  ;;ww  ""JJ  ww;;  ww  ;;tt 
//;;""  RR    RR    ww""  kk""  ;;tt  ww    kkkk      kktt  JJ;;  ZZ;;  ;;  tt   
//  JJkkttkkkk;;kkkk;;JJkktt""kkJJJJkkttJJkk;;  kkkkJJ  ttkkttJJkk;;ttkkJJkkJJ   
//| I | - | L | U | N | A | A | T | H | E | N | A | P | R | O | J | E | C | T |  
//------------------------------------------------------------------------------
// iLAthena 스킬 트리 데이터베이스 <http://www.i-luna.com>
// 한글화 by 아이루나 iLAthena Project
//------------------------------------------------------------------------------
// 버전 2009-07-23.00
//------------------------------------------------------------------------------
// 한글화 by 악승
// 3차직업도움 by Secret[秘密]
// 3차직업 by 사이버짱
// 로얄가드, 제네릭, 소서러 미구현
//------------------------------------------------------------------------------

//직업NO,스킬코드,최대 레벨,선수 스킬-ID-1,선수스킬-ID-1-Lv,선수 스킬-ID-2,선수스킬-ID-2-Lv,선수스킬-ID-3,선수스킬-ID-3-Lv,선수스킬-ID-4,선수스킬-ID-4-Lv,선수스킬-ID-5,선수스킬-ID-5-Lv
//직업스킬이름#스킬이름#

//Novice
0,1,9,0,0,0,0,0,0,0,0,0,0 //NV_BASIC#기본기능#
0,142,1,0,0,0,0,0,0,0,0,0,0 //NV_FIRSTAID#응급_치료#
0,143,1,0,0,0,0,0,0,0,0,0,0 //NV_TRICKDEAD#죽은척하기#
0,410,1,0,0,0,0,0,0,0,0,0,0 //WE_CALLBABY#아가야_이리오렴#
0,681,1,0,0,0,0,0,0,0,0,0,0 //ALL_INCCARRY#소지량_증가_R#
//Swordman
1,1,9,0,0,0,0,0,0,0,0,0,0 //NV_BASIC#기본기능#
1,142,1,0,0,0,0,0,0,0,0,0,0 //NV_FIRSTAID#응급_치료#
1,2,10,0,0,0,0,0,0,0,0,0,0 //SM_SWORD#한손검_수련#
1,3,10,2,1,0,0,0,0,0,0,0,0 //SM_TWOHAND#양손검_수련#
1,4,10,0,0,0,0,0,0,0,0,0,0 //SM_RECOVERY#HP회복력_향상#
1,5,10,0,0,0,0,0,0,0,0,0,0 //SM_BASH#배쉬#
1,6,10,0,0,0,0,0,0,0,0,0,0 //SM_PROVOKE#프로보크#
1,7,10,5,5,0,0,0,0,0,0,0,0 //SM_MAGNUM#매그넘_브레이크#
1,8,10,6,5,0,0,0,0,0,0,0,0 //SM_ENDURE#인듀어#
1,144,1,0,0,0,0,0,0,0,0,0,0 //SM_MOVINGRECOVERY#이동시_HP_회복#
1,145,1,0,0,0,0,0,0,0,0,0,0 //SM_FATALBLOW#급소치기#
1,146,1,0,0,0,0,0,0,0,0,0,0 //SM_AUTOBERSERK#오토_버서크#
1,410,1,0,0,0,0,0,0,0,0,0,0 //WE_CALLBABY#아가야_이리오렴#
1,681,1,0,0,0,0,0,0,0,0,0,0 //ALL_INCCARRY#소지량_증가_R#
//Magician
2,1,9,0,0,0,0,0,0,0,0,0,0 //NV_BASIC#기본기능#
2,142,1,0,0,0,0,0,0,0,0,0,0 //NV_FIRSTAID#응급_치료#
2,9,10,0,0,0,0,0,0,0,0,0,0 //MG_SRECOVERY#SP회복력_향상#
2,10,1,0,0,0,0,0,0,0,0,0,0 //MG_SIGHT#사이트#
2,11,10,0,0,0,0,0,0,0,0,0,0 //MG_NAPALMBEAT#네이팜_비트#
2,12,10,11,7,13,5,0,0,0,0,0,0 //MG_SAFETYWALL#세이프티_월#
2,13,10,11,4,0,0,0,0,0,0,0,0 //MG_SOULSTRIKE#소울_스트라이크#
2,14,10,0,0,0,0,0,0,0,0,0,0 //MG_COLDBOLT#콜드볼트#
2,15,10,14,5,0,0,0,0,0,0,0,0 //MG_FROSTDIVER#프로스트_다이버#
2,16,10,0,0,0,0,0,0,0,0,0,0 //MG_STONECURSE#스톤_커스#
2,17,10,19,4,0,0,0,0,0,0,0,0 //MG_FIREBALL#화이어_볼#
2,18,10,17,5,10,1,0,0,0,0,0,0 //MG_FIREWALL#화이어_월#
2,19,10,0,0,0,0,0,0,0,0,0,0 //MG_FIREBOLT#화이어_볼트#
2,20,10,0,0,0,0,0,0,0,0,0,0 //MG_LIGHTNINGBOLT#라이트닝_볼트#
2,21,10,20,4,0,0,0,0,0,0,0,0 //MG_THUNDERSTORM#선더스톰#
2,157,1,0,0,0,0,0,0,0,0,0,0 //MG_ENERGYCOAT#에너지_코트#
2,410,1,0,0,0,0,0,0,0,0,0,0 //WE_CALLBABY#아가야_이리오렴#
2,681,1,0,0,0,0,0,0,0,0,0,0 //ALL_INCCARRY#소지량_증가_R#
//Archer
3,1,9,0,0,0,0,0,0,0,0,0,0 //NV_BASIC#기본기능#
3,142,1,0,0,0,0,0,0,0,0,0,0 //NV_FIRSTAID#응급_치료#
3,43,10,0,0,0,0,0,0,0,0,0,0 //AC_OWL#올빼미의_눈#
3,44,10,43,3,0,0,0,0,0,0,0,0 //AC_VULTURE#독수리의_눈#
3,45,10,44,1,0,0,0,0,0,0,0,0 //AC_CONCENTRATION#집중력_향상#
3,46,10,0,0,0,0,0,0,0,0,0,0 //AC_DOUBLE#더블_스트레이핑#
3,47,10,46,5,0,0,0,0,0,0,0,0 //AC_SHOWER#애로우_샤워#
3,147,1,0,0,0,0,0,0,0,0,0,0 //AC_MAKINGARROW#화살_만들기#
3,148,1,0,0,0,0,0,0,0,0,0,0 //AC_CHARGEARROW#챠지_애로우#
3,410,1,0,0,0,0,0,0,0,0,0,0 //WE_CALLBABY#아가야_이리오렴#
3,681,1,0,0,0,0,0,0,0,0,0,0 //ALL_INCCARRY#소지량_증가_R#
//Acolyte
4,1,9,0,0,0,0,0,0,0,0,0,0 //NV_BASIC#기본기능#
4,142,1,0,0,0,0,0,0,0,0,0,0 //NV_FIRSTAID#응급_치료#
4,22,10,0,0,0,0,0,0,0,0,0,0 //AL_DP#디바인_프로텍션#
4,23,10,22,3,0,0,0,0,0,0,0,0 //AL_DEMONBANE#데몬베인#
4,24,1,0,0,0,0,0,0,0,0,0,0 //AL_RUWACH#루아흐#
4,25,1,27,4,0,0,0,0,0,0,0,0 //AL_PNEUMA#흐뉴마#
4,26,2,24,1,0,0,0,0,0,0,0,0 //AL_TELEPORT#텔레포테이션#
4,27,4,26,2,0,0,0,0,0,0,0,0 //AL_WARP#워프_포탈#
4,28,10,0,0,0,0,0,0,0,0,0,0 //AL_HEAL#힐#
4,29,10,28,3,0,0,0,0,0,0,0,0 //AL_INCAGI#민첩성_증가#
4,30,10,29,1,0,0,0,0,0,0,0,0 //AL_DECAGI#민첩성_감소#
4,31,1,0,0,0,0,0,0,0,0,0,0 //AL_HOLYWATER#아쿠아_베네딕타#
4,32,10,23,3,0,0,0,0,0,0,0,0 //AL_CRUCIS#시그넘_크루시스#
4,33,10,22,3,0,0,0,0,0,0,0,0 //AL_ANGELUS#안젤루스#
4,34,10,22,5,0,0,0,0,0,0,0,0 //AL_BLESSING#블레싱#
4,35,1,28,2,0,0,0,0,0,0,0,0 //AL_CURE#큐어#
4,156,1,0,0,0,0,0,0,0,0,0,0 //AL_HOLYLIGHT#홀리_라이트#
4,410,1,0,0,0,0,0,0,0,0,0,0 //WE_CALLBABY#아가야_이리오렴#
4,681,1,0,0,0,0,0,0,0,0,0,0 //ALL_INCCARRY#소지량_증가_R#
//Merchant
5,1,9,0,0,0,0,0,0,0,0,0,0 //NV_BASIC#기본기능#
5,142,1,0,0,0,0,0,0,0,0,0,0 //NV_FIRSTAID#응급_치료#
5,36,10,0,0,0,0,0,0,0,0,0,0 //MC_INCCARRY#소지한계량_증가#
5,37,10,36,3,0,0,0,0,0,0,0,0 //MC_DISCOUNT#디스카운트#
5,38,10,37,3,0,0,0,0,0,0,0,0 //MC_OVERCHARGE#오버챠지#
5,39,10,36,5,0,0,0,0,0,0,0,0 //MC_PUSHCART#푸쉬카트#
5,40,1,0,0,0,0,0,0,0,0,0,0 //MC_IDENTIFY#아이템_감정#
5,41,10,39,3,0,0,0,0,0,0,0,0 //MC_VENDING#노점개설#
5,42,10,0,0,0,0,0,0,0,0,0,0 //MC_MAMMONITE#매머나이트#
5,153,1,0,0,0,0,0,0,0,0,0,0 //MC_CARTREVOLUTION#카트_레볼루션#
5,154,1,0,0,0,0,0,0,0,0,0,0 //MC_CHANGECART#체인지_카트#
5,155,1,0,0,0,0,0,0,0,0,0,0 //MC_LOUD#고성방가#
5,410,1,0,0,0,0,0,0,0,0,0,0 //WE_CALLBABY#아가야_이리오렴#
5,681,1,0,0,0,0,0,0,0,0,0,0 //ALL_INCCARRY#소지량_증가_R#
//Thief
6,1,9,0,0,0,0,0,0,0,0,0,0 //NV_BASIC#기본기능#
6,142,1,0,0,0,0,0,0,0,0,0,0 //NV_FIRSTAID#응급_치료#
6,48,10,0,0,0,0,0,0,0,0,0,0 //TF_DOUBLE#더블_어택#
6,49,10,0,0,0,0,0,0,0,0,0,0 //TF_MISS#회피율_증가#
6,50,10,0,0,0,0,0,0,0,0,0,0 //TF_STEAL#스틸#
6,51,10,50,5,0,0,0,0,0,0,0,0 //TF_HIDING#하이딩#
6,52,10,0,0,0,0,0,0,0,0,0,0 //TF_POISON#인베넘#
6,53,1,52,3,0,0,0,0,0,0,0,0 //TF_DETOXIFY#해독#
6,149,1,0,0,0,0,0,0,0,0,0,0 //TF_SPRINKLESAND#모래_뿌리기#
6,150,1,0,0,0,0,0,0,0,0,0,0 //TF_BACKSLIDING#백_슬라이딩#
6,151,1,0,0,0,0,0,0,0,0,0,0 //TF_PICKSTONE#돌_줍기#
6,152,1,0,0,0,0,0,0,0,0,0,0 //TF_THROWSTONE#돌_던지기#
6,410,1,0,0,0,0,0,0,0,0,0,0 //WE_CALLBABY#아가야_이리오렴#
6,681,1,0,0,0,0,0,0,0,0,0,0 //ALL_INCCARRY#소지량_증가_R#
//Knight
7,1,9,0,0,0,0,0,0,0,0,0,0 //NV_BASIC#기본기능#
7,142,1,0,0,0,0,0,0,0,0,0,0 //NV_FIRSTAID#응급_치료#
7,2,10,0,0,0,0,0,0,0,0,0,0 //SM_SWORD#한손검_수련#
7,3,10,2,1,0,0,0,0,0,0,0,0 //SM_TWOHAND#양손검_수련#
7,4,10,0,0,0,0,0,0,0,0,0,0 //SM_RECOVERY#HP회복력_향상#
7,5,10,0,0,0,0,0,0,0,0,0,0 //SM_BASH#배쉬#
7,6,10,0,0,0,0,0,0,0,0,0,0 //SM_PROVOKE#프로보크#
7,7,10,5,5,0,0,0,0,0,0,0,0 //SM_MAGNUM#매그넘_브레이크#
7,8,10,6,5,0,0,0,0,0,0,0,0 //SM_ENDURE#인듀어#
7,144,1,0,0,0,0,0,0,0,0,0,0 //SM_MOVINGRECOVERY#이동시_HP_회복#
7,145,1,0,0,0,0,0,0,0,0,0,0 //SM_FATALBLOW#급소치기#
7,146,1,0,0,0,0,0,0,0,0,0,0 //SM_AUTOBERSERK#오토_버서크#
7,55,10,0,0,0,0,0,0,0,0,0,0 //KN_SPEARMASTERY#창_수련#
7,56,10,55,1,0,0,0,0,0,0,0,0 //KN_PIERCE#피어스#
7,57,10,63,1,58,3,0,0,0,0,0,0 //KN_BRANDISHSPEAR#브랜디쉬_스피어#
7,58,10,56,5,0,0,0,0,0,0,0,0 //KN_SPEARSTAB#스피어_스탭#
7,59,5,56,3,0,0,0,0,0,0,0,0 //KN_SPEARBOOMERANG#스피어_부메랑#
7,60,10,3,1,0,0,0,0,0,0,0,0 //KN_TWOHANDQUICKEN#투핸드_퀴큰#
7,61,5,3,1,0,0,0,0,0,0,0,0 //KN_AUTOCOUNTER#오토_카운터#
7,62,10,5,10,7,3,3,5,60,10,61,5//KN_BOWLINGBASH#볼링_배쉬#
7,63,1,8,1,0,0,0,0,0,0,0,0 //KN_RIDING#라이딩#
7,64,5,63,1,0,0,0,0,0,0,0,0 //KN_CAVALIERMASTERY#기병_수련#
7,1001,1,0,0,0,0,0,0,0,0,0,0 //KN_CHARGEATK#차지_어택#
7,410,1,0,0,0,0,0,0,0,0,0,0 //WE_CALLBABY#아가야_이리오렴#
7,495,1,60,10,0,0,0,0,0,0,0,0	//KN_ONEHAND#원핸드_퀴큰#
7,681,1,0,0,0,0,0,0,0,0,0,0 //ALL_INCCARRY#소지량_증가_R#
//Priest
8,1,9,0,0,0,0,0,0,0,0,0,0 //NV_BASIC#기본기능#
8,142,1,0,0,0,0,0,0,0,0,0,0 //NV_FIRSTAID#응급_치료#
8,22,10,0,0,0,0,0,0,0,0,0,0 //AL_DP#디바인_프로텍션#
